"species,""variable"",""moran"",""p_vlaue_M"",""Geary"",""p_vlaue_G"""
"A_eburnea,""bio13"",0.759616395079781,4.66893380962835e-13,0.231561454193325,2.90925708217116e-12"
"A_eburnea,""bio14"",0.691626085475907,3.10824141902261e-11,0.345777569669107,2.39188607932678e-09"
"A_eburnea,""bio5"",0.483316093603238,2.12351291301211e-06,0.547752723068814,2.41816926128655e-05"
"A_eburnea,""bio6"",0.461430587686418,5.43334397288552e-06,0.503147474996664,3.99994239892306e-06"
"A_eburnea,""bio7"",0.708359418065661,1.40603969910058e-11,0.309149515322037,2.88946637593967e-10"
"A_spinosa,""bio13"",0.223125544685604,1.79307919626522e-08,0.772330532082138,1.88156433018535e-07"
"A_spinosa,""bio14"",0.427559502445868,7.87081334418419e-26,0.559894323271567,1.7486076314828e-24"
"A_spinosa,""bio5"",0.409387518136648,8.52224344590653e-24,0.584741449405675,1.76223525347535e-22"
"A_spinosa,""bio6"",0.587236226553105,9.89486951230068e-47,0.406734080744075,3.43208340814136e-43"
"A_spinosa,""bio7"",0.520329837513638,3.79992781793454e-37,0.47847650857801,4.4783776766908e-34"
"B_exaltatum,""bio13"",0.34889463454894,8.03722881828484e-23,0.636707446757729,2.13713512293308e-21"
"B_exaltatum,""bio14"",0.705917939419252,3.08273865610104e-86,0.286989925887931,5.7239881015376e-80"
"B_exaltatum,""bio5"",0.481339121908027,2.93731910731509e-41,0.517946025832927,1.36321595716925e-38"
"B_exaltatum,""bio6"",0.530653026135656,1.00283723975412e-49,0.457354232366547,1.2036487483199e-47"
"B_exaltatum,""bio7"",0.785651956958259,9.82603904116348e-106,0.211070284681079,2.10722246744021e-102"
"C_varia,""bio13"",0.106134090494964,6.47980726885116e-15,0.885326455014004,5.30375021671922e-14"
"C_varia,""bio14"",0.303998985585758,9.56946778969325e-108,0.695771692531022,6.65140865453558e-91"
"C_varia,""bio5"",0.242649126222267,1.96457620206733e-69,0.750553690946117,8.56714607696784e-65"
"C_varia,""bio6"",0.580081120884593,0,0.419135504233375,0"
"C_varia,""bio7"",0.735547187654376,0,0.263907790110171,0"
"E_billardieri,""bio13"",0.391426002842435,2.44203059814585e-23,0.614124953724782,1.91937693049031e-20"
"E_billardieri,""bio14"",0.425010784656629,3.85056133805033e-27,0.576689493409124,3.28635696892395e-24"
"E_billardieri,""bio5"",0.302535591903823,1.13167966140582e-14,0.704528169389152,2.94706818194995e-13"
"E_billardieri,""bio6"",0.330775938233737,3.47896153919196e-17,0.674036012425005,1.52707734601141e-15"
"E_billardieri,""bio7"",0.520054339526626,2.80892492480095e-39,0.471534698043275,8.81179369265596e-39"
"F_carduchorum,""bio13"",0.568146063760189,1.78784127379882e-07,0.444812319101892,1.34474379831362e-06"
"F_carduchorum,""bio14"",0.284942537824872,0.000220662948889361,0.658091244266962,0.00465099851091082"
"F_carduchorum,""bio5"",0.116974590860328,0.1034716668768,0.870442876305088,0.137703449454139"
"F_carduchorum,""bio6"",0.307281010345645,0.00220072323139221,0.662472448370557,0.00207406211895281"
"F_carduchorum,""bio7"",0.805030099799887,6.11535358768155e-13,0.193166083861413,4.49627393780445e-12"
"F_vulgaris,""bio13"",0.162250422155125,7.38691031625959e-18,0.851773419735984,1.15579544185922e-09"
"F_vulgaris,""bio14"",0.450549310154201,3.92929215834332e-122,0.544974796133291,8.07315545867745e-108"
"F_vulgaris,""bio5"",0.323357394821026,5.75937507683089e-64,0.669303889862244,1.07277354797053e-60"
"F_vulgaris,""bio6"",0.733759359396528,0,0.262915200045922,0"
"F_vulgaris,""bio7"",0.832679557521496,0,0.16288454262704,0"
"O_cornuta,""bio13"",0.516692231978003,1.00098668103197e-36,0.481558353523445,2.98612889262524e-34"
"O_cornuta,""bio14"",0.398953624101677,4.41435768662589e-26,0.611416387514251,2.05439518657323e-11"
"O_cornuta,""bio5"",0.302863702884959,6.11939742398731e-14,0.684987380662962,5.8386297061749e-14"
"O_cornuta,""bio6"",0.486124316919056,1.00713913953292e-32,0.502475624675309,5.94231588226293e-32"
"O_cornuta,""bio7"",0.645775367303575,7.29235552743174e-56,0.344567239367958,6.61112901904841e-55"
"R_brandti,""bio13"",0.647973262500629,2.25979477383216e-08,0.369937337259146,1.24923025753902e-07"
"R_brandti,""bio14"",0.748293609601999,9.6199102305789e-12,0.221210720015099,2.0183035936616e-11"
"R_brandti,""bio5"",0.117311156779407,0.0889208029623828,0.829931230664185,0.0718653426104587"
"R_brandti,""bio6"",0.186910129710276,0.0349401746412087,0.77378692012775,0.0307942756611233"
"R_brandti,""bio7"",0.549225242438072,1.25889924036484e-06,0.441608651706542,2.26638501743481e-06"
"S_tragioides,""bio13"",-0.0252202442996927,0.442359560356669,0.988892930532982,0.466097342138333"
"S_tragioides,""bio14"",-0.103607892025425,0.679428446236247,1.04279189747931,0.627995415382519"
"S_tragioides,""bio5"",0.0729250778697543,0.181179991206117,0.82966253750656,0.0964871425721113"
"S_tragioides,""bio6"",0.279588286921133,0.00774954674095493,0.658309779068295,0.004760494957511"
"S_tragioides,""bio7"",0.481685470022057,4.10320091560838e-05,0.478643919733193,3.7997653945776e-05"
"T_depressum,""bio13"",0.101458373865461,0.102818318224746,0.938536379030635,0.271131088049682"
"T_depressum,""bio14"",0.467733088685773,3.17830000035817e-07,0.521111589928414,9.29507387468463e-07"
"T_depressum,""bio5"",0.131934086429372,0.0623229987775984,0.842735225522916,0.0576669845172179"
"T_depressum,""bio6"",0.0607454737071528,0.202448541080487,0.903481823621188,0.168033787366801"
"T_depressum,""bio7"",0.131733312461271,0.0619261188217992,0.881861356699058,0.11871084378397"
"Z_aisha,""bio13"",0.587669113477301,0.000626946010059766,0.373431264463363,0.000738644696338316"
"Z_aisha,""bio14"",0.139997565446526,0.0825206763200134,0.744414847912012,0.0713683026060222"
"Z_aisha,""bio5"",0.169012328891306,0.0763264134855372,0.731212038799746,0.0735945462895474"
"Z_aisha,""bio6"",0.759365201492475,2.11747081205062e-05,0.219656168044145,2.7204406892278e-05"
"Z_aisha,""bio7"",0.95404525293358,7.01052188980298e-07,0.0509890891396702,9.48599511806623e-07"
"Z_araxis,""bio13"",0.0195894334807922,0.318641331988572,0.930081670354981,0.302447196877951"
"Z_araxis,""bio14"",0.656289888775024,5.08750778979395e-08,0.314924849003555,4.74141561867384e-08"
"Z_araxis,""bio5"",-0.0803911607110275,0.636650091387258,0.999741116129111,0.499203128951679"
"Z_araxis,""bio6"",0.0188793980069149,0.330446866433643,0.980514880347095,0.441082866162606"
"Z_araxis,""bio7"",0.307144632129842,0.00362512878029246,0.671533074576868,0.00565685567851077"
"Z_cuvieri,""bio13"",0.140326974142989,0.0509479873751197,0.860405478791953,0.0898801120594194"
"Z_cuvieri,""bio14"",0.348819093742254,4.29151927545514e-05,0.583099266831234,6.48024969661953e-05"
"Z_cuvieri,""bio5"",0.401027513568996,1.21446633285356e-05,0.597604956705817,4.08367537327818e-05"
"Z_cuvieri,""bio6"",0.24058146073749,0.00442657915322066,0.777062223387874,0.0146638048896846"
"Z_cuvieri,""bio7"",0.625850823253293,2.96415170485388e-11,0.351503937738821,1.85323824984159e-10"
"Z_duskei,""bio13"",0.516168665634476,8.06684805904255e-09,0.396314664202332,6.41196650279102e-08"
"Z_duskei,""bio14"",0.190597229246442,0.0167393533527838,0.773580154372276,0.0192767595066988"
"Z_duskei,""bio5"",0.216009254796654,0.0107348723834757,0.744986221895799,0.00778597749283615"
"Z_duskei,""bio6"",0.271854722737844,0.00209850491667431,0.739431943881409,0.00716760295263845"
"Z_duskei,""bio7"",0.16106875709881,0.0305149050486759,0.892400129494247,0.16808826418501"
"Z_ecki,""bio13"",0.940544563463394,4.31015907802414e-11,0.0657633131338898,2.66957913487402e-10"
"Z_ecki,""bio14"",0.119768944754484,0.120690596858919,0.809350954925213,0.105564282340157"
"Z_ecki,""bio5"",0.444340848731423,0.000462101302456879,0.502035912609739,0.000506720596811647"
"Z_ecki,""bio6"",0.452282132753184,0.000169157187264,0.501055680644688,0.000619013532487819"
"Z_ecki,""bio7"",0.885561368575853,5.17339409729339e-10,0.118778333051358,2.2407836268427e-09"
"Z_fredi,""bio13"",0.619436621148923,4.87018321223404e-15,0.417074765005469,3.56630436454626e-12"
"Z_fredi,""bio14"",0.131889463381016,0.0342642663627777,0.897581019853251,0.129947076187599"
"Z_fredi,""bio5"",0.0617521012680304,0.180295036463848,0.92701297694963,0.194811837307481"
"Z_fredi,""bio6"",0.458531622777868,4.75882021741441e-09,0.517787230427362,4.09266388249154e-09"
"Z_fredi,""bio7"",0.648097513898757,4.99438575235678e-16,0.360020802228358,6.56432414788881e-15"
"Z_ginnereissi,""bio13"",0.103848323208065,0.0739753645544211,0.780594434317674,0.079629863149984"
"Z_ginnereissi,""bio14"",0.1096701376247,0.0658400683753393,0.783582201631108,0.0819172722334924"
"Z_ginnereissi,""bio5"",0.0394940131324847,0.162976245407263,0.776870292584009,0.0774555553279611"
"Z_ginnereissi,""bio6"",0.132116138895503,0.0326698248668535,0.684109848247516,0.0192257224483332"
"Z_ginnereissi,""bio7"",0.330680928776415,0.000696602639110656,0.513678580746152,0.000783269391834991"
"Z_kermanensis,""bio13"",0.169829497372978,0.0114233831075801,0.802070186846979,0.00783500939365638"
"Z_kermanensis,""bio14"",0.287364566024937,8.05368600984101e-06,0.619332272503396,2.08341302848381e-05"
"Z_kermanensis,""bio5"",0.400567654442545,1.49188501669111e-07,0.57662012805675,1.02856832446529e-07"
"Z_kermanensis,""bio6"",0.227045107808378,0.00126982689447725,0.743961333700155,0.00100099507571072"
"Z_kermanensis,""bio7"",0.771231534073739,3.8074689226876e-23,0.242120510860966,2.48704766793989e-20"
"Z_loti,""bio13"",0.393649720048826,2.11080508753758e-19,0.607870441702915,2.99762728627112e-17"
"Z_loti,""bio14"",0.479424682045718,1.02547015879229e-27,0.505682548493593,1.3281254008598e-26"
"Z_loti,""bio5"",0.340839695296823,5.36019957562865e-15,0.641537984359314,5.21839365217924e-15"
"Z_loti,""bio6"",0.514028680315121,2.06938028667131e-31,0.471612710867171,6.98974088498097e-31"
"Z_loti,""bio7"",0.77032129642213,5.33757645807768e-68,0.233958801624018,1.03039077127347e-60"
"Z_manlia,""bio13"",0.938183785522337,6.78779300962374e-10,0.0406359800072199,6.03699108311216e-10"
"Z_manlia,""bio14"",0.420158974370417,0.000135668816336395,0.441068248860883,9.04082381998521e-05"
"Z_manlia,""bio5"",0.588681174663595,2.12211256095196e-05,0.401510067114094,6.55619987891834e-05"
"Z_manlia,""bio6"",0.423169365766239,0.000724653577764957,0.468100904799371,0.000299973929217283"
"Z_manlia,""bio7"",0.932832642633513,9.27527457841685e-10,0.0456389906715522,7.63409282492471e-10"
"Z_nocturna,""bio13"",0.690794411554021,1.38751692663475e-09,0.305534572138407,2.81644895340151e-09"
"Z_nocturna,""bio14"",0.832068644310691,1.22904038068471e-13,0.154491667690292,5.90551531497221e-13"
"Z_nocturna,""bio5"",0.539122353284619,8.7662076660864e-07,0.473028020288824,4.77836166288775e-06"
"Z_nocturna,""bio6"",0.293164348274085,0.00354871161147375,0.695074325948824,0.00522690462844066"
"Z_nocturna,""bio7"",0.348253190666495,0.00081733209208287,0.621440235240673,0.00073994483394914"
"Z_pseudorubricundus,""bio13"",0.420709184074423,5.36449774827335e-05,0.528685383922631,3.44907948586607e-05"
"Z_pseudorubricundus,""bio14"",0.560970779133552,2.11731866897921e-07,0.429145970645876,7.17477458763488e-07"
"Z_pseudorubricundus,""bio5"",0.698022302214237,4.60525933348519e-10,0.290991627478749,1.07932326000752e-09"
"Z_pseudorubricundus,""bio6"",-0.143712741919638,0.837222276838394,1.10311137308838,0.808086226742812"
"Z_pseudorubricundus,""bio7"",0.518706699915102,2.45660367537153e-06,0.470445769141942,3.91315307040445e-06"
"Z_speciosa,""bio13"",0.429447798380601,0.000135557251644129,0.551821004665067,0.000342086327555971"
"Z_speciosa,""bio14"",0.552504954674287,3.58428138307763e-06,0.426728970559648,4.7763926292644e-06"
"Z_speciosa,""bio5"",0.371457247660139,0.000461128093786342,0.60674991971715,0.00185696829003756"
"Z_speciosa,""bio6"",0.119866582954011,0.105189968268184,0.85502299191359,0.138857621440465"
"Z_speciosa,""bio7"",0.683966883865501,1.55897506083368e-08,0.31841626281663,8.60918443258518e-08"
"Z_tamara,""bio13"",0.380485239412453,6.77598721526737e-09,0.615313635442291,1.27563378197037e-08"
"Z_tamara,""bio14"",0.373836184658184,9.01845720545475e-09,0.631329959322715,7.62311461650597e-08"
"Z_tamara,""bio5"",0.150541944696957,0.00986382879896163,0.858013233331133,0.0201607857765492"
"Z_tamara,""bio6"",0.301851773941061,2.71303780505338e-06,0.683266443510684,2.59415458580478e-06"
"Z_tamara,""bio7"",0.209920858544038,0.000682276517490154,0.785804438003465,0.00101734124119063"
"Z_turkmenica,""bio13"",0.453342353679113,9.54272751449363e-10,0.562399511848133,2.91747315372645e-08"
"Z_turkmenica,""bio14"",0.733517927074353,1.35125504353974e-23,0.277866442863346,1.52875168111616e-17"
"Z_turkmenica,""bio5"",0.546560536130893,3.89977293784686e-13,0.462964246169315,8.17363322247755e-12"
"Z_turkmenica,""bio6"",0.389302973975636,1.42256377707128e-07,0.603003133019943,2.74997329976806e-07"
"Z_turkmenica,""bio7"",0.820713347919245,1.06055582526313e-26,0.176714226964755,9.98467830739102e-26"
